NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Study Type,Start Date,Primary Completion Date,Completion Date,Patient friendly summary,Field1,Relevant for rare cancer?,Genetic,Key inclusion criteria,Key exclusion criteria,Gene,Rare Cancer Types,Location,Tumour agnostic?,Reviewed,Drugs,Biologicals,Max ECOG,For untreated patients?,Trial cohort,Cohorts,Trial Question,Trial Drug,How given?,Updated locations
"NCT04996875","(Apex) Bezuclastinib in Patients With Advanced Systemic Mastocytosis","https://clinicaltrials.gov/study/NCT04996875",,"RECRUITING","This is an open-label, two-part Phase 2 study investigating CGT9486 for the treatment of patients with Advanced Systemic Mastocytosis (AdvSM), including patients with Aggressive SM (ASM), SM with Associated Hematologic Neoplasm (SM-AHN), and Mast Cell Leukemia (MCL).","Advanced Systemic Mastocytosis (AdvSM)|SM With an Associated Hematologic Neoplasm (SM-AHN)|Mast Cell Leukemia (MCL)|Aggressive Systemic Mastocytosis (ASM)","DRUG: bezuclastinib","Cogent Biosciences, Inc.",,"ALL","ADULT, OLDER_ADULT","PHASE2",140,"INTERVENTIONAL","11/09/21 00:00:00","01/01/25 00:00:00","09/01/25 00:00:00",0,257,1,1,,,257,257,257,0,1,257,257,"3",0,,212,,,,203
"NCT05002127","A Study of Evorpacept (ALX148) in Patients With Advanced HER2+ Gastric Cancer (ASPEN-06)","https://clinicaltrials.gov/study/NCT05002127",,"RECRUITING","A Phase 2/3 Study of Evorpacept (ALX148) in Combination With Trastuzumab, Ramucirumab, and Paclitaxel in Patients With Advanced HER2-overexpressing gastric/GEJ adenocarcinoma.","Gastric Cancer|Gastroesophageal Junction Adenocarcinoma|Gastric Adenocarcinoma","DRUG: Evorpacept (ALX148)|DRUG: Trastuzumab|DRUG: Ramucirumab|DRUG: Paclitaxel","ALX Oncology Inc.","Eli Lilly and Company","ALL","ADULT, OLDER_ADULT","PHASE2|PHASE3",450,"INTERVENTIONAL","01/15/22 00:00:00","07/01/26 00:00:00","08/01/28 00:00:00",0,320,1,1,,,320,320,320,0,1,320,320,"not stated",0,,213,,,,204
"NCT05006716","A Dose-Escalation and Expansion Study of BGB-16673 in Participants With B-Cell Malignancies","https://clinicaltrials.gov/study/NCT05006716",,"RECRUITING","Study consists of two main parts to explore BGB-16673 recommended dosing, a Phase 1 monotherapy dose finding comprised of monotherapy dose escalation and monotherapy safety expansion of selected doses, and a Phase 2 (expansion cohorts)","B-cell Malignancy|Marginal Zone Lymphoma|Follicular Lymphoma|Non-Hodgkin Lymphoma|Waldenstr̦m Macroglobulinemia|Chronic Lymphocytic Leukemia|Small Lymphocytic Lymphoma|Mantle Cell Lymphoma|Diffuse Large B Cell Lymphoma","DRUG: BGB-16673","BeiGene",,"ALL","ADULT, OLDER_ADULT","PHASE1|PHASE2",466,"INTERVENTIONAL","09/13/21 00:00:00","03/01/25 00:00:00","03/31/28 00:00:00",0,174,1,0,,,174,174,174,0,1,174,174,"2",0,,214,,,,205
"NCT05011058","An Open-Label, Phase 2 Trial of Nanatinostat in Combination With Valganciclovir in Patients With Epstein-Barr Virus-Positive (EBV+) Relapsed/Refractory Lymphomas","https://clinicaltrials.gov/study/NCT05011058","NAVAL-1","RECRUITING","A Phase 2 study to evaluate the efficacy of nanatinostat in combination with valganciclovir in patients with relapsed/refractory EBV-positive lymphomas","Epstein-Barr Virus Associated Lymphoproliferative Disorder|EBV-Related PTLD|EBV Related Non-Hodgkin's Lymphoma|EBV-Positive DLBCL, NOS|EBV Associated Lymphoma|EBV Related PTCL, NOS","DRUG: Nanatinostat in combination with valganciclovir","Viracta Therapeutics, Inc.",,"ALL","ADULT, OLDER_ADULT","PHASE2",140,"INTERVENTIONAL","05/28/21 00:00:00","07/01/25 00:00:00","12/01/26 00:00:00",0,323,1,0,,,323,323,323,0,1,323,323,"2",0,,215,,,,206
"NCT05014139","A Study of Intravesical Enfortumab Vedotin For Treatment of Patients With Non-muscle Invasive Bladder Cancer (NMIBC)","https://clinicaltrials.gov/study/NCT05014139",,"RECRUITING","This study will test a drug called enfortumab vedotin in participants with a type of bladder cancer called non-muscle invasive bladder cancer (NMIBC).

This study will also evaluate what the side effects are and if the drug works to treat NMIBC. A side effect is anything a drug does to your body besides treating your disease.

In this study enfortumab vedotin will be put into the bladder using a catheter. A catheter is a thin tube that can be put into your bladder.","Urinary Bladder Neoplasms|Carcinoma in Situ|Carcinoma Transitional Cell|Non-muscle Invasive Bladder Cancer|NMIBC","DRUG: Enfortumab vedotin","Astellas Pharma Global Development, Inc.","Seagen Inc.","ALL","ADULT, OLDER_ADULT","PHASE1",58,"INTERVENTIONAL","12/07/21 00:00:00",,,0,235,0,0,,,235,235,235,0,1,235,235,,0,,216,,,,207
"NCT05020236","MagnetisMM-5: Study of Elranatamab (PF-06863135) Monotherapy and Elranatamab + Daratumumab Versus Daratumumab + Pomalidomide + Dexamethasone in Participants With Relapsed/Refractory Multiple Myeloma","https://clinicaltrials.gov/study/NCT05020236","MAGNETISMM-5","RECRUITING","The purpose of this study is to evaluate whether the BCMA-CD3 bispecific antibody elranatamab, alone and/or in combination with the anti-CD38 monoclonal antibody, daratumumab, can provide more benefit to people with multiple myeloma compared to a combination therapy including daratumumab, pomalidomide, and dexamethasone. People with multiple myeloma who have received previous treatment including lenalidomide and a proteasome inhibitor will be enrolled in the study. Part 1 of the study will assess the safety and activity of different doses of elranatamab in combination with daratumumab. People participating in Part 2 of the study will be randomly assigned to receive either elranatamab alone, elranatamab plus daratumumab, or daratumumab, pomalidomide, and dexamethasone. Part 2 will compare the safety and activity of (1) elranatamab alone compared to daratumumab, pomalidomide, and dexamethasone, and (2) elranatamab plus daratumumab compared to daratumumab, pomalidomide, and dexamethasone. Participants in all parts of the study will receive study treatment until their disease progresses, they experience unacceptable side effects, or they choose to no longer participate in the study.","Multiple Myeloma","DRUG: Elranatamab|DRUG: Daratumumab|DRUG: Pomalidomide|DRUG: Dexamethasone","Pfizer",,"ALL","ADULT, OLDER_ADULT","PHASE3",761,"INTERVENTIONAL","10/04/21 00:00:00","08/01/25 00:00:00","05/31/27 00:00:00",0,421,1,0,,,421,421,421,0,1,421,421,"2",0,,217,,,,208
"NCT05038657","Atezolizumab Immunotherapy, in Immunotherapy Naive Patients With Urinary Tract Squamous Cell Carcinoma (UTSCC).","https://clinicaltrials.gov/study/NCT05038657","AURORA","RECRUITING","Atezolizumab in patients with urinary tract squamous cell carcinoma: a single-arm, open-label, multicentre, phase II clinical trial","Squamous Cell Carcinoma|Urinary Tract Cancer","DRUG: Atezolizumab","University Hospital Southampton NHS Foundation Trust","Cancer Research UK|Roche Pharma AG","ALL","ADULT, OLDER_ADULT","PHASE2",36,"INTERVENTIONAL","05/30/22 00:00:00","01/01/24 00:00:00","01/01/25 00:00:00",0,312,1,0,,,312,312,312,0,1,312,312,"2",0,,218,,,,209
"NCT05043090","Savolitinib Plus Durvalumab Versus Sunitinib and Durvalumab Monotherapy in MET-Driven, Unresectable and Locally Advanced or Metastatic PRCC","https://clinicaltrials.gov/study/NCT05043090","SAMETA","RECRUITING","A clinical trial to compare the effectiveness of savolitinib plus durvalumab versus sunitinib in MET-driven (hepatocyte growth factor receptor), unresectable and locally advanced or metastatic PRCC (Papillary Renal Cell Carcinoma).","Papillary Renal Cell Carcinoma","DRUG: savolitinib|DRUG: durvalumab|DRUG: sunitinib","AstraZeneca",,"ALL","ADULT, OLDER_ADULT","PHASE3",220,"INTERVENTIONAL","10/28/21 00:00:00","06/30/25 00:00:00","06/12/26 00:00:00",0,399,1,1,,,399,399,399,0,1,399,399,"2",0,,219,,,,210
"NCT05043714","Study of NG-641 in Combination With Nivolumab in Metastatic or Advanced Epithelial Tumours","https://clinicaltrials.gov/study/NCT05043714","NEBULA","RECRUITING","This is a phase 1a/1b, multicentre, open-label, non-randomized study of NG-641 in combination with nivolumab (or standard of care PD-1 inhibition) in patients with metastatic or advanced epithelial tumours.

The purpose is to characterize the safety and tolerability of NG-641 in combination with nivolumab in patients with metastatic or advanced epithelial tumours and to determine the recommended dose of NG-641 in combination with nivolumab for further development in patients with metastatic or advanced epithelial tumours","Metastatic Cancer|Epithelial Tumor","BIOLOGICAL: NG-641 in combination with Nivolumab","Akamis Bio","Bristol-Myers Squibb","ALL","ADULT, OLDER_ADULT","PHASE1",30,"INTERVENTIONAL","12/01/21 00:00:00","05/30/24 00:00:00","07/30/24 00:00:00",0,54,1,0,,,54,54,54,0,1,54,54,"1",0,,220,,,,211
"NCT05050097","A Study of Talquetamab With Other Anticancer Therapies in Participants With Multiple Myeloma","https://clinicaltrials.gov/study/NCT05050097","MonumenTAL-2","RECRUITING","The purpose of this study is to characterize the safety and tolerability of talquetamab when administered in different combination regimens and to identify the safe dose(s) of talquetamab combination regimens.","Multiple Myeloma","DRUG: Talquetamab|DRUG: Carfilzomib|DRUG: Daratumumab SC|DRUG: Lenalidomide|DRUG: Pomalidomide","Janssen Research & Development, LLC",,"ALL","ADULT, OLDER_ADULT","PHASE1",182,"INTERVENTIONAL","09/22/21 00:00:00","07/02/25 00:00:00","09/29/25 00:00:00",0,420,1,0,,,420,420,420,0,1,420,420,"1",0,,221,,,,212
"NCT05057013","HMBD-001 in Advanced HER3 Positive Solid Tumours","https://clinicaltrials.gov/study/NCT05057013",,"RECRUITING","This clinical trial is evaluating a drug called HMBD-001 (an anti-HER3 monoclonal antibody) in patients with advanced HER3 positive solid tumours. The main aims are to find out the maximum dose of HMBD-001 that can be given safely to patients alone and in combination with other anti-cancer agents, more about the potential side effects of HMBD-001 and how these can be treated and what happens to HMBD-001 inside the body and how it affects cancer cells.","Bladder Cancer|Triple Negative Breast Cancer|Castration-resistant Prostate Cancer|Cervical Cancer|RAS Wild Type Colorectal Cancer|Endometrial Cancer|Gastric Cancer|Hepatocellular Carcinoma (HCC)|Melanoma|Non-small Cell Lung Cancer (NSCLC)|Oesophageal Canc","DRUG: HMBD-001","Cancer Research UK","Hummingbird Bioscience","ALL","CHILD, ADULT, OLDER_ADULT","PHASE1|PHASE2",135,"INTERVENTIONAL","11/10/21 00:00:00","09/01/26 00:00:00","09/01/26 00:00:00",0,59,1,1,,,59,59,59,0,1,59,59,"1",0,,222,,,,213
"NCT05059327","Basimglurant in Children, Adolescents, and Young Adults With TSC","https://clinicaltrials.gov/study/NCT05059327",,"RECRUITING","The study intends to show that basimglurant provides effective seizure control in children, adolescents and young adults with Tuberous Sclerosis Complex (TSC).","Tuberous Sclerosis Complex","DRUG: Basimglurant with crossover to Placebo|DRUG: Placebo with crossover to Basimglurant","Noema Pharma AG",,"ALL","CHILD, ADULT","PHASE2",54,"INTERVENTIONAL","03/03/22 00:00:00","11/30/24 00:00:00","01/31/25 00:00:00",0,506,1,0,"<30",,506,506,506,0,1,506,506,"not stated",0,,223,,,,214
"NCT05070858","A Study to Test How Safe Pozelimab and Cemdisiran Combination Therapy and Cemdisiran Alone Are and How Well They Work in Adult Patients With Generalized Myasthenia Gravis","https://clinicaltrials.gov/study/NCT05070858","NIMBLE","RECRUITING","This study is researching an experimental combination treatment with pozelimab and cemdisiran, and cemdisiran monotherapy. The study is focused on patients with generalized myasthenia gravis (gMG). Myasthenia gravis is a disease that causes weakness and fatigue in muscles in the body because the nerves and muscles are not communicating properly. The aim of the study is to see how effective pozelimab and cemdisiran are when used in combination and when pozelimab and cemdisiran are used alone for patients with gMG.

The study is looking at several other research questions, including:

* What side effects may happen from taking the study drugs
* How the study drugs work inside the body
* How much study drugs are in the blood at different times
* Whether the body makes antibodies against pozelimab and cemdisiran (which could make the drugs less effective or could lead to side effects)","Generalized Myasthenia Gravis","DRUG: Pozelimab + Cemdisiran|DRUG: Cemdisiran|OTHER: Placebo|DRUG: Pozelimab","Regeneron Pharmaceuticals",,"ALL","ADULT, OLDER_ADULT","PHASE3",235,"INTERVENTIONAL","12/14/21 00:00:00",,,0,502,0,0,,,502,502,502,0,1,502,502,,0,,224,,,,215
"NCT05074810","Phase 1/2 Study of Avutometinib (VS-6766) + Sotorasib With or Without Defactinib in KRAS G12C NSCLC Patients","https://clinicaltrials.gov/study/NCT05074810","RAMP203","RECRUITING","This study will assess the safety and efficacy of avutometinib (VS-6766) in combination with sotorasib with or without defactinib in patients with KRAS G12C Non-Small Cell Lung Cancer (NSCLC) in patients who have been exposed to prior G12C inhibitor and those who have not been exposed to prior G12C inhibitor.","Non Small Cell Lung Cancer|KRAS Activating Mutation","DRUG: avutometinib and sotorasib|DRUG: avutometinib and sotorasib and defactinib","Verastem, Inc.","Amgen","ALL","ADULT, OLDER_ADULT","PHASE1|PHASE2",153,"INTERVENTIONAL","04/12/22 00:00:00","09/01/25 00:00:00","04/01/27 00:00:00",0,105,0,0,,,105,105,105,0,1,105,105,,0,,225,,,,216
"NCT05082259","ASTEROID: A Trial of ASTX660 in Combination With Pembrolizumab","https://clinicaltrials.gov/study/NCT05082259","ASTEROID","RECRUITING","This is a multi-centre Phase I dose finding and proof-of-concept study of the combination of ASTX660 together with Pembrolizumab with expansion cohorts testing preliminary efficacy in immune-refractory cancers, triple negative breast cancer (TNBC), cervical cancer, and glioblastoma.

In contrast to the existing studies combining first-generation cIAP1/2 selective Smac mimetics with immune check point inhibitors, the ASTEROID Phase I clinical trial will be the first trial utilising triple cIAP1/2 and XIAP blockade by ASTX660 as a strategy to maximise immunogenic cell death and the generation of an efficient adaptive immune response. ASTX660 is not simply being used to repeat the data already being acquired with other first generation Smac mimetics. In contrast, we will investigate more in depth the mechanisms by which ASTX660 elicits its therapeutic effects both on tumour and on the host immune system. This will be critical to determine the best strategy to pursue in future later stage tumour specific trials of IAP antagonists in combination with immunotherapy, and to ensure appropriate molecular stratification biomarkers for the greatest benefit to patients.","Advanced Cancer|Cervical Cancer|Triple Negative Breast Cancer","DRUG: ASTX660|DRUG: Pembrolizumab","Institute of Cancer Research, United Kingdom","Astex Pharmaceuticals, Inc.|Merck Sharp & Dohme LLC|Cancer Research UK","ALL","ADULT, OLDER_ADULT","PHASE1",48,"INTERVENTIONAL","03/02/22 00:00:00","03/16/26 00:00:00","03/16/26 00:00:00",0,160,1,0,,,160,160,160,0,1,160,160,"1",0,,226,,,,217
"NCT05107674","A Study of NX-1607 in Adults With Advanced Malignancies","https://clinicaltrials.gov/study/NCT05107674",,"RECRUITING","This is a first-in-human Phase 1a/1b multicenter, open-label oncology study designed to evaluate the safety and anti-cancer activity of NX-1607 in patients with advanced malignancies.","Ovarian Cancer, Epithelial|Gastric Cancer|GastroEsophageal Junction (GEJ) Cancer|Head and Neck Squamous Cell Carcinoma|Metastatic or Unresectable Melanoma|Non-small Cell Lung Cancer (NSCLC)|Metastatic Castration-resistant Prostate Cancer (mCRPC)|Malignant","DRUG: NX-1607|DRUG: Paclitaxel","Nurix Therapeutics, Inc.",,"ALL","ADULT, OLDER_ADULT","PHASE1",345,"INTERVENTIONAL","09/29/21 00:00:00","08/31/24 00:00:00","02/28/26 00:00:00",0,115,1,0,,,115,115,115,0,1,115,115,"1",0,,231,,,,218
"NCT05111626","Bemarituzumab Plus Chemotherapy and Nivolumab Versus Chemotherapy and Nivolumab for FGFR2b Overexpressed Untreated Advanced Gastric and Gastroesophageal Junction Cancer.","https://clinicaltrials.gov/study/NCT05111626","FORTITUDE-102","RECRUITING","The main objective of Part 1 is to evaluate the safety and tolerability of bemarituzumab plus 5-fluorouracil, leucovorin, and oxaliplatin (mFOLFOX6) and nivolumab.

The main objective Part 2 is to compare efficacy of bemarituzumab plus chemotherapy (mFOLFOX6 or capecitabine combined with oxaliplatin (CAPOX)) and nivolumab to placebo plus chemotherapy (mFOLFOX6 or CAPOX) and nivolumab as assessed by overall survival.","Gastric Cancer|Gastroesophageal Junction Adenocarcinoma","DRUG: Bemarituzumab|DRUG: Nivolumab|DRUG: Chemotherapy|OTHER: Placebo","Amgen",,"ALL","ADULT, OLDER_ADULT","PHASE3",528,"INTERVENTIONAL","03/14/22 00:00:00","09/26/26 00:00:00","09/26/26 00:00:00",0,269,1,0,,,269,269,269,0,1,269,269,"1",0,,233,,,,220
"NCT05117177","New Formulation Study of Inupadenant (EOS100850) in Patients With Cancer","https://clinicaltrials.gov/study/NCT05117177",,"RECRUITING","A Multicenter, Open-Label, Phase I Clinical Study to assess the Safety, Tolerability, Pharmacokinetics and Food-Effect of Inupadenant New Formulation in Participants with Advanced Solid Tumors","Solid Tumor, Adult","DRUG: Inupadenant","iTeos Therapeutics",,"ALL","ADULT, OLDER_ADULT","PHASE1",64,"INTERVENTIONAL","07/14/21 00:00:00","10/01/23 00:00:00","11/01/23 00:00:00",0,80,1,0,,,80,80,80,0,1,80,80,"1",0,,234,,,,221
"NCT05118789","A Study of NVL-520 in Patients With Advanced NSCLC and Other Solid Tumors Harboring ROS1 Rearrangement (ARROS-1)","https://clinicaltrials.gov/study/NCT05118789",,"RECRUITING","Phase 1/2, dose escalation and expansion study designed to evaluate the safety and tolerability of NVL-520, determine the recommended phase 2 dose (RP2D), and evaluate the antitumor activity in patients with advanced ROS1-positive (ROS1+) NSCLC and other advanced ROS1-positive solid tumors.

Phase 1 will determine the RP2D and, if applicable, the maximum tolerated dose (MTD) of NVL-520 in patients with advanced ROS1-positive solid tumors.

Phase 2 will determine the objective response rate (ORR) as assessed by Blinded Independent Central Review (BICR) of NVL-520 at the RP2D. Secondary objectives will include the duration of response (DOR), time to response (TTR), progression-free survival (PFS), overall survival (OS), and clinical benefit rate (CBR) of NVL-520 in patients with advanced ROS1-positive NSCLC and other solid tumors.","Locally Advanced Solid Tumor|Metastatic Solid Tumor","DRUG: NVL-520","Nuvalent Inc.",,"ALL","CHILD, ADULT, OLDER_ADULT","PHASE1|PHASE2",359,"INTERVENTIONAL","01/04/22 00:00:00","10/31/25 00:00:00","10/31/26 00:00:00",0,56,0,1,,,56,56,56,1,1,56,56,,0,,235,,,,222
"NCT05120349","A Global Study to Assess the Effects of Osimertinib in Participants With EGFRm Stage IA2-IA3 NSCLC Following Complete Tumour Resection","https://clinicaltrials.gov/study/NCT05120349","ADAURA2","RECRUITING","This is a global study to assess the effects of osimertinib in participants with EGFRm stage IA2-IA3 non-small cell lung cancer following complete tumour resection.","Non-Small Cell Lung Cancer","DRUG: Osimertinib|DRUG: Placebo","AstraZeneca",,"ALL","ADULT, OLDER_ADULT","PHASE3",380,"INTERVENTIONAL","02/21/22 00:00:00",,,0,126,0,0,,,126,126,126,0,1,126,126,,0,,236,,,,223
"NCT05120596","First in Human Study of T3P-Y058-739 (T3P)","https://clinicaltrials.gov/study/NCT05120596",,"RECRUITING","This is a first in human, phase I/II open-label, dose-finding, safety, and proof-of-concept clinical trial of T3P-Y058-739, a genetically-modified, live attenuated strain of the bacterium Yersinia enterocolitica, in patients with advanced solid tumors.","Advanced Solid Tumor","DRUG: Pembrolizumab+T3P-Y058-739|DRUG: T3P-Y058-739 (IV)|DRUG: T3P-Y058-739 (IT)","T3 Pharmaceuticals AG",,"ALL","ADULT, OLDER_ADULT","PHASE1|PHASE2",100,"INTERVENTIONAL","04/26/22 00:00:00","02/28/26 00:00:00","10/15/26 00:00:00",0,68,1,0,,,68,68,68,0,1,68,68,"1",0,,237,,,,224
"NCT05123482","A Phase I/IIa Study of AZD8205 Given Alone or in Combination With Anticancer Drugs, in Participants With Advanced or Metastatic Solid Malignancies","https://clinicaltrials.gov/study/NCT05123482",,"RECRUITING","This research study is studying a new compound, AZD8205, as a possible treatment for advanced or metastatic solid tumours alone or in combination with anti-cancer agents","Breast Cancer|Biliary Tract Carcinoma|Ovarian Cancer|Endometrial Cancer","DRUG: AZD8205|DRUG: AZD8205 and AZD2936 (Rilvegostomig)","AstraZeneca",,"ALL","ADULT, OLDER_ADULT","PHASE1|PHASE2",340,"INTERVENTIONAL","10/18/21 00:00:00","12/30/25 00:00:00","12/30/25 00:00:00",0,149,1,0,,,149,149,149,0,1,149,149,"1",0,,238,,,,225
"NCT05131022","A Study of NX-5948 in Adults With Relapsed/Refractory B-cell Malignancies","https://clinicaltrials.gov/study/NCT05131022",,"RECRUITING","This is a first-in-human Phase 1a/1b multicenter, open-label study designed to evaluate the safety and anti-cancer activity of NX-5948 in patients with advanced B-cell malignancies.","Chronic Lymphocytic Leukemia (CLL)|Small Lymphocytic Lymphoma (SLL)|Diffuse Large B Cell Lymphoma (DLBCL)|Follicular Lymphoma (FL)|Mantle Cell Lymphoma (MCL)|Marginal Zone Lymphoma (MZL)|Waldenstrom Macroglobulinemia (WM)|Primary Central Nervous System Ly","DRUG: NX-5948","Nurix Therapeutics, Inc.",,"ALL","ADULT, OLDER_ADULT","PHASE1",292,"INTERVENTIONAL","04/13/22 00:00:00","12/01/25 00:00:00","01/01/27 00:00:00",0,157,1,0,,,157,157,157,0,1,157,157,"2",0,,239,,,,226
"NCT05139017","A Study of Zilovertamab Vedotin (MK-2140) in Combination With Standard of Care in Participants With Relapsed or Refractory Diffuse Large B-Cell Lymphoma (rrDLBCL) (MK-2140-003)","https://clinicaltrials.gov/study/NCT05139017",,"RECRUITING","The purpose of this Phase 2/3, randomized, multisite, open-label, dose confirmation, and expansion study is to evaluate the safety, and efficacy of zilovertamab vedotin (ZV) in combination with standard of care options for the treatment of rrDLBCL. This study will be divided into 2 parts: Dose Confirmation (Part 1) and Efficacy Expansion (Part 2) and will enroll participants who are at least 18 years of age with rrDLBCL. The hypotheses are: ZV in combination with rituximab, gemcitabine, and oxaliplatin (R-GemOx) is superior to R-GemOx with respect to progression-free survival (PFS) per Lugano response criteria by blinded independent review committee (BICR); and that ZV in combination with bendamustine rituximab (BR) is superior to BR with respect to PFS per Lugano response criteria by BICR.

With protocol amendment 4 (effective: 04-April-2024), enrollment in Cohort B (study arms Bendamustine Rituximab \[BR\] and ZV + BR) is discontinued. No efficacy outcome analysis and hypothesis testing will be conducted for Cohort B.","DLBCL|Diffuse Large B-Cell Lymphoma","BIOLOGICAL: Zilovertamab vedotin|BIOLOGICAL: Rituximab|DRUG: Gemcitabine|DRUG: Oxaliplatin|DRUG: Bendamustine","Merck Sharp & Dohme LLC",,"ALL","ADULT, OLDER_ADULT","PHASE2|PHASE3",260,"INTERVENTIONAL","01/14/22 00:00:00","06/21/27 00:00:00","06/21/27 00:00:00",0,472,1,0,,,472,472,472,0,1,472,472,"2",0,,240,,,,227
"NCT05142189","Clinical Trial Evaluating the Safety, Tolerability and Preliminary Efficacy of BNT116 Alone and in Combinations in Patients With Advanced Non-small Cell Lung Cancer","https://clinicaltrials.gov/study/NCT05142189","LuCa-MERIT-1","RECRUITING","This First-in-human (FIH) trial for BNT116 aims to establish the safety profile and a safe dose for BNT116 monotherapy as well as for BNT116 in combination with cemiplimab or docetaxel in patients with advanced or metastasized non-small cell lung cancer (NSCLC) and unresectable NSCLC after chemoradiotherapy (CRT). Furthermore, the trial aims to establish the safety and feasibility of BNT116 in combination with cemiplimab and chemotherapy (carboplatin+paclitaxel) as neo-adjuvant treatment in resectable NSCLC followed by surgery and adjuvant BNT116 + cemiplimab. The trial will comprise several cohorts for dose confirmation in monotherapy as well as in combinations of BNT116 as mentioned above.","Non-Small Cell Lung Cancer","BIOLOGICAL: BNT116|BIOLOGICAL: Cemiplimab|DRUG: Docetaxel|DRUG: Carboplatin|DRUG: Paclitaxel","BioNTech SE",,"ALL","ADULT, OLDER_ADULT","PHASE1",130,"INTERVENTIONAL","06/17/22 00:00:00","01/01/26 00:00:00","08/01/27 00:00:00",0,268,0,0,,,268,268,268,0,1,268,268,,0,,241,,,,228
"NCT05142696","A Study of [177Lu]Lu-DOTA-TATE in Newly Diagnosed ES-SCLC Patients in Combination With Carboplatin, Etoposide and Atezolizumab","https://clinicaltrials.gov/study/NCT05142696",,"RECRUITING","This study aims to establish a safe and well tolerated dose of \[177Lu\]Lu-DOTA-TATE in combination with carboplatin, etoposide and atezolizumab in this setting and to assess preliminary efficacy of this combination treatment versus the combination of carboplatin, etoposide, and atezolizumab.The study will be essential to assess a new potential therapeutic option in participants with this aggressive cancer type.","Extensive Stage Small Cell Lung Cancer","DRUG: [177Lu]Lu-DOTA-TATE|DRUG: Atezolizumab|DRUG: [68Ga]Ga-DOTA-TATE|OTHER: Carboplatin|OTHER: Etoposide","Novartis Pharmaceuticals",,"ALL","ADULT, OLDER_ADULT","PHASE1|PHASE2",200,"INTERVENTIONAL","07/13/22 00:00:00",,,0,306,0,0,,,306,306,306,0,1,306,306,,0,,242,,,,229
"NCT05143957","A Study to Evaluate Sapablursen (Formerly ISIS 702843, IONIS-TMPRSS6-LRx) in Patients With Polycythemia Vera","https://clinicaltrials.gov/study/NCT05143957",,"RECRUITING","The main purpose of this study is to evaluate the efficacy of sapablursen in reducing the frequency of phlebotomy and in improving quality of life assessments in participants with polycythemia vera.","Phlebotomy Dependent Polycythemia Vera","DRUG: sapablursen","Ionis Pharmaceuticals, Inc.",,"ALL","ADULT, OLDER_ADULT","PHASE2",60,"INTERVENTIONAL","12/30/21 00:00:00","01/01/25 00:00:00","12/01/25 00:00:00",0,393,1,0,,,393,393,393,0,1,393,393,"not stated",1,,243,,,,230
"NCT05148546","Neoadjuvant Study With Combination Immuno-oncology for Primary Clear Cell Renal Cell Cancer","https://clinicaltrials.gov/study/NCT05148546","NESCIO","RECRUITING","The NESCIO-trial is a multicenter, randomized, open-label, three-arm phase II trial investigating different combinations of neoadjuvant immunotherapy in patients with primary, resectable, intermediate to high-risk, clear-cell renal cell carcinoma. In this trial patients will be randomized 1:1:1 to receive either 2 cycles of nivolumab 360mg every 3 weeks (arm A), 2 cycles of ipilimumab 1 mg/kg + nivolumab 3 mg/kg every 3 weeks (arm B) or 2 cycles of relatlimab 360mg + nivolumab 360mg every 3 weeks (arm C), prior to surgery at week 7.

After 42 patients (14 per arm) have been recruited, an interim analysis will be performed to evaluate the observed efficacy and toxicity within each arm and either allow for early discontinuation of the treatment or continuing recruitment for the second stage. As the primary endpoint, the pathological response (decrease in tumor) will be evaluated. If at most one pathologic response in the primary tumor is observed, the treatment arm will be closed for insufficient activity on the primary tumor. If at least 2 pathologic responses are observed, 9 additional patients will be included to a total of 23 patients per cohort. A maximum of 69 patients will be recruited for this study.

Follow up will start at week 12 with a CT-scan according to the national/center's standard. Patients will be evaluated every 3 months by physical examination and lab testing for up to two years, thereafter according to institutional guidelines up to 5 years following surgery.","Renal Cell Carcinoma","DRUG: Neoadjuvant nivolumab|DRUG: Neoadjuvant ipilimumab|DRUG: Neoadjuvant relatlimab","The Netherlands Cancer Institute","Bristol-Myers Squibb","ALL","ADULT, OLDER_ADULT","PHASE2",69,"INTERVENTIONAL","04/28/22 00:00:00","04/01/24 00:00:00","04/01/29 00:00:00",0,151,1,0,,,151,151,151,0,1,151,151,"1",1,,244,,,,231
